	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1574)
	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1564)
	at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:334)
	at java.util.concurrent.FutureTask.run(FutureTask.java:166)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
	at java.lang.Thread.run(Thread.java:722)
Caused by: ErrCode: 21000000
Message: (BPS WFSystemInfo Table not exist or version information is incorrect:[e2aba7b2d801000][192.168.197.233:3306][drds_bkgyl_kf_jhgl]ERR-CODE: [TDDL-4007][ERR_CANNOT_FETCH_TABLE_META] Table 'WFSYSTEMINFO' metadata cannot be fetched because Table 'drds_bkgyl_kf_jhgl_chxc_0000.wfsysteminfo' doesn't exist. More: [http://middleware.alibaba-inc.com/faq/faqByFaqCode.html?faqCode=TDDL-4007])
	at com.primeton.workflow.service.persistence.SystemInfoManager.findSystemInfo(SystemInfoManager.java:122)
	at com.primeton.workflow.service.persistence.SystemInfoManager.getConfigValue(SystemInfoManager.java:60)
	at com.primeton.workflow.service.upgrade.UpGradeManagerImpl.getCurrentDataBaseVersion(UpGradeManagerImpl.java:123)
	at com.primeton.workflow.service.upgrade.UpGradeManagerImpl.<init>(UpGradeManagerImpl.java:117)
	at com.primeton.workflow.service.upgrade.UpGradeManagerFactory.initFactory(UpGradeManagerFactory.java:78)
